rounds,time_fedwan,accuracy_fedwan,loss_fedwan,time_fednag,accuracy_fednag,loss_fednag,time_mfl,accuracy_mfl,loss_mfl,time_mime,accuracy_mime,loss_mime,time_fedmom,accuracy_fedmom,loss_fedmom
1,123.2980413,0.591446314,1.798493014,3.13001132,0.600260417,1.836196837,121.834337,0.235076122,2.219521842,521.8326192,0.140224359,2.269660459,646.8794954,0.203725962,2.269695875
2,126.358403,0.802884615,0.742522414,6.390286922,0.735576923,0.900124281,125.7566299,0.350560897,2.008225958,524.8943634,0.206129808,2.23121088,649.7649922,0.286959135,2.223131482
3,129.3177874,0.866085737,0.475421324,9.504178762,0.849358974,0.569500656,129.4438224,0.505108173,1.59961393,527.8337779,0.286258013,2.186194088,652.6908755,0.379607372,2.158559108
4,132.280777,0.875500801,0.409173013,12.52890229,0.868990385,0.449016043,133.0727603,0.641426282,1.116558828,530.8612621,0.333633814,2.136275615,655.6628652,0.506911058,2.063695828
5,135.2222075,0.896133814,0.351637856,15.69185519,0.882211538,0.393447202,136.5331483,0.751001603,0.824395057,533.9001937,0.378405449,2.084001477,658.5645969,0.526642628,1.937516929
6,138.0429978,0.901943109,0.328464789,18.63534307,0.894330929,0.357289791,141.1798265,0.776141827,0.694236374,536.9260187,0.431189904,2.022758488,661.5595076,0.560496795,1.769376459
7,141.0317671,0.909855769,0.305288489,21.74091887,0.897936699,0.336567702,144.6054196,0.818509615,0.591066396,539.973809,0.491085737,1.951135664,664.3944266,0.556390224,1.584837882
8,143.7160053,0.904547276,0.311028655,24.54137039,0.905649038,0.313730667,147.8100202,0.844350962,0.505187357,543.0196745,0.534755609,1.873557122,667.3939972,0.652844551,1.362520634
9,146.5690315,0.920673077,0.267602765,27.4619112,0.915364583,0.289949048,151.6579137,0.852764423,0.468042546,546.1303673,0.590645032,1.786938875,670.2659183,0.685797276,1.187727155
10,149.3154385,0.927383814,0.243490474,30.35036206,0.921875,0.264825667,156.0573153,0.864783654,0.431683847,549.1692531,0.631810897,1.693324789,673.2396786,0.684895833,1.049015959
11,152.3453238,0.929186699,0.229363764,33.74752975,0.923677885,0.25146769,159.5393374,0.874499199,0.415877816,552.1916845,0.662760417,1.593432954,676.5350139,0.747495994,0.933736494
12,155.2083483,0.930388622,0.221866111,36.67116189,0.92568109,0.242866984,162.8058898,0.880008013,0.398504855,555.1860149,0.689703526,1.491934983,679.4591079,0.720753205,0.859235816
13,158.1620791,0.929487179,0.229909538,39.72452354,0.926883013,0.244219319,166.5924747,0.880408654,0.389064373,558.2254293,0.703826122,1.389426639,682.3637135,0.737780449,0.813263085
14,161.2122946,0.935797276,0.210709637,42.79202414,0.931490385,0.228962398,169.9495609,0.884915865,0.378539708,561.2085097,0.716646635,1.286773728,685.4415925,0.702724359,0.815826368
15,164.1775272,0.934395032,0.209291932,45.77500987,0.934194712,0.222384974,173.2067196,0.893529647,0.355187443,564.2703462,0.724158654,1.189864304,688.5040531,0.708733974,0.826301999
16,167.1074572,0.937299679,0.203109063,48.691751,0.934194712,0.217629693,176.8613245,0.895432692,0.34795312,568.4749854,0.739282853,1.097441541,691.3863351,0.624799679,0.912179349
17,169.9982173,0.940404647,0.19560967,51.56924105,0.937800481,0.208397665,180.2506886,0.901542468,0.32932698,572.6153946,0.742588141,1.018510979,694.2861321,0.6796875,0.883799117
18,172.9288342,0.941907051,0.18906773,54.48199654,0.937900641,0.205113601,183.3508248,0.894330929,0.346917761,575.8076122,0.751903045,0.945804156,697.103658,0.573217147,1.08389213
19,175.8127642,0.942608173,0.186537364,57.43025064,0.935296474,0.209018199,186.8327005,0.902744391,0.325464267,578.8812118,0.759715545,0.88074772,699.9110351,0.709935897,0.90477561
20,178.9133708,0.943709936,0.185423143,60.52650595,0.938301282,0.203921254,189.9415476,0.90614984,0.317608295,582.1291678,0.775040064,0.821324927,702.850054,0.696614583,0.790621845
21,181.9253204,0.943910256,0.189150303,63.58207464,0.940404647,0.195205758,192.9665945,0.898137019,0.324013965,585.1627333,0.782351763,0.773257411,705.7678819,0.774138622,0.660577459
22,184.9161298,0.946314103,0.177711648,66.69846225,0.942708333,0.189803733,196.3079298,0.904547276,0.316100782,588.1753824,0.790364583,0.733263399,708.7902124,0.737980769,0.711681328
23,188.044292,0.945913462,0.176013588,69.86830616,0.945112179,0.185456483,199.3319418,0.906550481,0.303685755,591.2228608,0.796274038,0.697770213,711.682246,0.80088141,0.609239701
24,191.0279641,0.946714744,0.177386635,72.9625144,0.944110577,0.184154126,202.3951223,0.910757212,0.292666722,594.2100289,0.806290064,0.66230673,714.5957818,0.758914263,0.686801878
25,193.9467661,0.949619391,0.167372719,76.06382418,0.947716346,0.177735429,205.4660964,0.91015625,0.296387929,597.3170757,0.811698718,0.63672917,717.4797449,0.758413462,0.693243292
26,196.934716,0.944010417,0.175929819,79.04559875,0.943409455,0.191492448,208.8009539,0.912059295,0.296927785,600.450702,0.817107372,0.615185172,720.4103477,0.675280449,1.055098438
27,199.7128417,0.94911859,0.16633953,81.90008759,0.946013622,0.184434577,211.9571109,0.91015625,0.300430782,603.593123,0.821915064,0.594403598,723.1915629,0.755308494,0.817251345
28,202.7791348,0.952724359,0.155592483,84.98102617,0.950620994,0.163917961,214.9731443,0.908653846,0.304722062,606.7696645,0.830428686,0.571550813,726.5052695,0.671875,1.033648042
29,205.775003,0.951722756,0.153852095,87.87552285,0.950220353,0.165828294,218.0679281,0.91416266,0.281089881,609.8879666,0.836237981,0.554407616,729.7226653,0.746995192,0.875473762
30,208.8486505,0.952524038,0.15151161,90.94292927,0.951221955,0.160330983,221.0796597,0.915264423,0.278257609,613.192914,0.840444712,0.5396547,732.8434036,0.711438301,0.880748333
31,211.9417067,0.955528846,0.144694194,93.88111305,0.954126603,0.151430793,224.4419086,0.916165865,0.281536967,616.2719731,0.836838942,0.53428855,735.8477154,0.831029647,0.587054032
32,214.963985,0.953325321,0.149138976,96.71640015,0.954827724,0.153657826,227.805963,0.918970353,0.271601547,619.4111166,0.844350962,0.519327726,739.5978639,0.824719551,0.55563969
