Round,Time,Accuracy,Loss
1,6.5610527992248535,0.8695913461538461,0.4206012617319058
2,13.288188934326172,0.9014423076923077,0.3208250513730141
3,19.959367513656616,0.9113581730769231,0.29101944432999843
4,26.55728507041931,0.9244791666666666,0.2514517333549567
5,33.85843777656555,0.9300881410256411,0.22599850021875822
6,40.721370220184326,0.9352964743589743,0.20625448487221432
7,47.23847818374634,0.9394030448717948,0.19367124278766987
8,53.742835998535156,0.9463141025641025,0.1729573133186652
9,60.28945446014404,0.9479166666666666,0.17293492170910424
10,66.87976455688477,0.9503205128205128,0.1620971944827873
