Water Level,Moisture Percentage,Light Intensity,Temperature,Humidity,Cluster
775,33.14,815,25,75,0
737,40.18,67,25,88,1
776,33.92,816,25,74,0
623,51.71,63,26,74,1
734,34.25,414,28,67,1
782,38.91,359,25,85,0
725,39.1,820,25,73,0
668,32.26,999,27,86,2
387,35.3,172,26,78,1
706,29.03,998,27,89,2
737,26.88,999,27,86,2
735,36.56,823,25,74,0
777,33.43,821,24,76,0
664,32.16,998,27,89,2
726,40.37,566,25,74,0
677,31.38,999,27,88,2
675,31.67,999,27,88,2
749,36.17,819,25,74,0
759,34.9,805,25,74,0
700,30.51,493,29,72,2
705,30.01,1000,27,83,2
442,44.17,347,29,65,1
610,52.49,61,26,75,1
642,34.02,998,27,89,2
739,38.42,650,25,74,0
495,36.79,221,26,65,1
742,29.62,977,26,75,0
655,49.17,97,26,75,1
724,38.61,978,25,65,0
719,28.15,998,27,86,2
696,30.01,999,27,87,2
758,34.7,816,25,75,0
776,32.65,818,25,75,0
610,36.64,420,26,65,1
780,38.12,821,24,68,0
652,33.72,965,27,90,2
758,35.58,816,25,74,0
646,42.84,260,28,72,1
692,30.79,999,27,84,2
727,43.11,818,23,63,0
740,29.81,977,26,76,0
782,41.61,469,27,86,2
757,36.46,817,24,74,0
703,36.95,978,26,68,0
724,27.76,998,27,88,2
761,41.15,312,27,71,1
750,41.84,218,25,73,1
315,72.53,36,29,68,1
753,35.58,823,25,74,0
741,36.56,823,25,74,0
772,34.31,816,25,74,0
679,31.87,1000,27,84,2
749,37.24,824,25,72,0
531,33.29,412,27,71,1
728,33.53,224,28,71,1
767,33.82,821,25,75,0
752,41.45,819,23,66,0
718,43.79,978,23,64,0
706,30.89,977,26,81,2
736,36.75,818,25,74,0
672,31.77,998,27,87,2
749,41.84,220,25,73,1
761,34.9,822,25,74,0
764,34.41,819,25,75,0
495,36.79,221,26,65,1
604,37.05,998,27,89,2
468,39.78,211,26,84,1
796,32.33,283,27,73,0
677,47.8,55,26,75,1
734,36.85,818,25,74,0
683,46.92,104,26,75,1
749,36.36,755,25,75,0
737,38.51,817,25,72,0
339,30.29,83,27,82,1
777,33.33,815,25,74,0
719,43.79,978,23,64,0
663,32.26,996,27,89,2
794,37.53,160,27,87,2
702,36.27,978,26,69,0
608,41.1,159,29,77,1
758,36.95,822,25,71,0
777,33.53,821,25,74,0
760,34.7,803,25,74,0
776,33.33,823,25,75,0
742,42.72,151,25,73,1
791,37.06,278,28,71,1
787,36.85,815,24,70,0
712,45.36,48,26,75,1
687,30.5,991,27,89,2
680,47.61,55,26,77,1
674,48.09,56,26,76,1
761,34.9,822,25,74,0
728,31.38,977,26,74,0
761,34.31,822,24,75,0
738,38.32,653,25,74,0
718,33.04,978,26,72,0
756,35,820,25,75,0
434,35.07,79,26,80,1
787,34.79,70,27,65,1
691,30.4,999,27,87,2
603,52.98,67,26,76,1
739,44.49,304,28,85,1
644,50.15,68,26,76,1
642,34.41,999,27,86,2
771,40.96,55,24,86,1
715,44.57,52,26,76,1
448,35.91,394,28,71,1
719,43.79,978,23,64,0
716,28.64,1000,27,84,2
351,36.66,401,29,90,2
781,32.75,817,25,76,0
671,32.36,1000,27,84,2
691,32.45,977,26,79,2
692,30.21,998,27,89,2
696,39.59,977,25,67,0
366,35.8,310,24,77,1
777,31.28,823,25,78,0
734,32.94,978,26,71,0
780,30.99,821,25,79,0
701,38.63,178,26,73,1
714,34.82,425,26,89,2
782,35,815,24,73,0
715,43.01,978,24,64,0
739,29.42,977,26,77,2
674,31.48,998,27,89,2
441,34.58,179,24,78,1
697,44.57,978,24,63,0
735,27.57,1000,27,83,2
705,30.21,1000,27,82,2
767,33.53,820,25,75,0
686,46.92,103,26,75,1
695,38.71,978,25,67,0
713,44.77,52,26,76,1
718,30.69,978,26,78,2
666,33.72,977,26,81,2
760,35.09,819,25,74,0
557,39.24,454,28,80,1
334,71.07,39,29,71,1
764,40.47,821,23,65,0
775,33.53,815,25,74,0
776,30.5,815,25,79,0
675,47.9,56,26,75,1
738,26.78,999,27,86,2
756,35.68,812,25,74,0
761,36.27,824,25,72,0
669,48.39,56,26,76,1
748,33.49,493,24,73,0
776,34.02,817,25,74,0
679,31.38,999,27,87,2
741,26.49,999,27,86,2
739,28.54,977,26,79,2
780,37.93,814,24,68,0
772,33.14,820,25,75,0
783,35.68,819,24,71,0
725,39.2,821,25,72,0
767,35.09,819,24,75,0
509,39.75,79,29,70,1
722,34.41,978,26,70,0
766,34.51,816,25,74,0
304,73.22,36,28,72,1
732,37.73,823,25,73,0
750,36.66,819,25,73,0
770,33.82,816,25,76,0
771,35.39,818,24,74,0
727,40.66,550,25,74,0
719,28.15,998,27,86,2
757,34.9,820,25,75,0
704,40.37,977,25,65,0
740,42.72,180,25,73,1
794,37.53,160,27,87,2
788,38.91,818,23,66,0
725,27.66,998,27,87,2
751,35.29,816,25,75,0
759,37.05,824,25,71,0
755,35.19,821,25,75,0
659,48.88,100,26,76,1
651,35.48,844,27,90,2
764,34.31,819,25,75,0
734,32.26,978,26,72,0
568,36.85,72,25,75,1
726,38.91,818,25,72,0
769,33.24,820,25,75,0
736,30.11,977,26,75,0
725,39.1,818,25,72,0
756,34.9,820,25,74,0
541,40.99,482,28,88,2
774,33.53,818,25,74,0
727,27.57,998,27,86,2
690,33.84,349,29,81,2
681,47.31,105,26,75,1
629,51.32,63,26,75,1
425,30.85,436,28,68,1
717,43.79,978,23,65,0
696,38.91,978,25,66,0
636,50.83,71,26,74,1
776,34.02,359,27,90,2
764,31.67,821,25,78,0
677,47.8,55,26,75,1
692,30.79,999,27,84,2
344,70.38,39,30,67,1
776,33.33,823,25,75,0
649,34.6,1000,27,82,2
705,45.65,98,25,74,1
771,34.21,816,25,74,0
757,35.09,824,25,74,0
734,38.61,822,25,72,0
774,33.43,823,25,75,0
597,32.68,235,25,68,1
783,33.22,267,24,76,0
700,30.6,1000,27,81,2
616,52.1,66,26,75,1
628,51.32,64,26,75,1
351,34.47,426,29,74,1
727,42.62,305,25,74,1
697,37.24,978,26,70,0
661,32.55,998,27,89,2
412,38.73,143,24,74,1
717,30.6,977,26,78,2
720,43.3,821,23,66,0
775,32.45,823,25,76,0
715,29.23,1000,27,83,2
681,31.57,1000,27,85,2
761,34.9,820,25,74,0
632,51.12,65,26,76,1
726,44.16,397,26,65,1
711,36.75,978,26,70,0
632,51.12,65,26,76,1
608,33.53,496,24,80,0
665,32.55,1000,27,85,2
453,37.15,220,27,69,1
733,42.82,813,23,65,0
658,33.14,999,27,84,2
779,37.93,821,24,68,0
389,67.25,43,26,75,1
311,39.92,128,25,66,1
606,52.79,62,26,75,1
744,26.69,1000,27,84,2
693,31.38,899,27,90,2
370,42.73,370,25,76,1
704,40.76,978,25,65,0
617,36.36,999,27,86,2
765,33.33,820,25,76,0
745,32.36,978,26,70,0
724,38.61,978,25,65,0
719,38.42,978,25,65,0
718,30.69,978,26,78,2
623,38.22,824,27,90,2
696,39.39,978,25,67,0
655,49.17,64,26,77,1
733,41.15,446,25,74,0
514,35.37,412,24,82,1
436,34.84,387,24,66,1
759,35.29,821,25,74,0
735,40.76,489,25,74,0
760,34.51,816,25,75,0
690,46.43,105,26,76,1
638,50.73,74,26,75,1
695,30.01,999,27,87,2
677,33.14,977,26,81,2
716,35.87,978,26,68,0
779,32.75,816,25,76,0
706,29.91,1000,27,83,2
756,33.92,823,25,75,0
470,35.34,131,25,73,1
702,30.3,1000,27,82,2
